player_id,player,age,height_in,weight_lb,wingspan_in,years_experience,min_salary,max_salary
1630639,A.J. Lawson,25.0,78,179.0,78.75,3,2378870,38661750
1631260,AJ Green,26.0,76,190.0,80.05149968959479,3,2378870,38661750
1642358,AJ Johnson,21.0,77,160.0,80.5,1,2048494,38661750
203932,Aaron Gordon,30.0,80,235.0,83.75,11,3634153,54126450
1628988,Aaron Holiday,29.0,72,185.0,79.5,7,3080921,46394100
1630174,Aaron Nesmith,26.0,77,215.0,81.03561134118651,5,2667944,38661750
1630598,Aaron Wiggins,27.0,77,190.0,81.75,4,2461463,38661750
1642846,Ace Bailey,19.0,81,200.0,84.5,0,1272870,38661750
1642380,Adama Bal,22.0,79,190.0,83.00383464436993,0,1272870,38661750
1641737,Adem Bona,23.0,82,235.0,87.75,1,2048494,38661750
1642876,Adou Thiero,22.0,79,220.0,84.0,0,1272870,38661750
1642349,Ajay Mitchell,23.0,76,190.0,78.25,1,2048494,38661750
201143,Al Horford,39.0,80,240.0,84.75,18,3634153,54126450
1630828,Alex Antetokounmpo,24.0,80,214.0,83.98794629596165,0,1272870,38661750
1627936,Alex Caruso,32.0,77,186.0,81.03561134118651,8,3287409,46394100
1631457,Alex Morales,28.0,78,210.0,82.01972299277821,0,1272870,38661750
1642259,Alex Sarr,21.0,84,205.0,88.25,1,2048494,38661750
1642918,Alijah Martin,24.0,74,210.0,79.5,0,1272870,38661750
1631214,Alondes Williams,26.0,76,210.0,79.0,3,2378870,38661750
1630578,Alperen Sengun,23.0,83,243.0,86.94028125073677,4,2461463,38661750
1642873,Amari Williams,24.0,83,250.0,86.94028125073677,0,1272870,38661750
1641708,Amen Thompson,23.0,79,200.0,84.0,2,2296274,38661750
1629599,Amir Coffey,28.0,79,210.0,83.00383464436993,6,2874436,38661750
1643158,Andersson Garcia,25.0,79,220.0,83.00383464436993,0,1272870,38661750
203083,Andre Drummond,32.0,83,279.0,90.25,13,3634153,54126450
1641748,Andre Jackson Jr.,24.0,78,209.0,81.75,2,2296274,38661750
1629614,Andrew Nembhard,26.0,76,191.0,77.75,3,2378870,38661750
203952,Andrew Wiggins,31.0,78,197.0,82.01972299277821,11,3634153,54126450
1629014,Anfernee Simons,26.0,75,200.0,81.25,7,3080921,46394100
1641710,Anthony Black,22.0,79,200.0,79.5,2,2296274,38661750
203076,Anthony Davis,33.0,82,253.0,89.5,13,3634153,54126450
1630162,Anthony Edwards,24.0,76,225.0,80.05149968959479,5,2667944,38661750
1630264,Anthony Gill,33.0,79,230.0,83.00383464436993,5,2667944,38661750
1641810,Antonio Reeves,25.0,77,205.0,80.25,1,2048494,38661750
1630574,Ariel Hukporti,24.0,84,246.0,86.5,1,2048494,38661750
1642854,Asa Newell,20.0,82,220.0,83.25,0,1272870,38661750
1641709,Ausar Thompson,23.0,79,205.0,84.0,2,2296274,38661750
1630559,Austin Reaves,28.0,77,197.0,78.25,4,2461463,38661750
1630245,Ayo Dosunmu,26.0,76,201.0,82.25,4,2461463,38661750
1628389,Bam Adebayo,28.0,81,255.0,86.75,8,3287409,46394100
1631248,Baylor Scheierman,25.0,78,205.0,80.25,1,2048494,38661750
1642879,Ben Saraf,20.0,78,200.0,80.7,0,1272870,38661750
1641767,Ben Sheppard,24.0,78,190.0,79.75,2,2296274,38661750
1631097,Bennedict Mathurin,23.0,77,210.0,81.0,3,2378870,38661750
1643016,Bez Mbeng,23.0,76,185.0,80.05149968959479,0,1272870,38661750
1641731,Bilal Coulibaly,21.0,79,195.0,83.00383464436993,2,2296274,38661750
202687,Bismack Biyombo,33.0,80,255.0,83.98794629596165,14,3634153,54126450
1642396,Blake Hinson,26.0,80,230.0,83.98794629596165,0,1272870,38661750
1631104,Blake Wesley,23.0,76,190.0,81.25,3,2378870,38661750
1626171,Bobby Portis,31.0,81,250.0,86.0,10,3634153,54126450
1641752,Bobi Klintman,23.0,81,225.0,83.0,1,2048494,38661750
203992,Bogdan Bogdanović,33.0,77,225.0,81.03561134118651,8,3287409,46394100
1630538,Bones Hyland,25.0,74,169.0,81.25,4,2461463,38661750
203078,Bradley Beal,32.0,76,207.0,80.0,13,3634153,54126450
1642382,Branden Carlson,26.0,84,220.0,87.92439290232849,1,2048494,38661750
1641764,Brandin Podziemski,23.0,76,205.0,77.5,2,2296274,38661750
1629634,Brandon Clarke,29.0,80,215.0,80.25,6,2874436,38661750
1627742,Brandon Ingram,28.0,80,190.0,83.98794629596165,9,3303774,46394100
1641706,Brandon Miller,23.0,79,200.0,83.00383464436993,2,2296274,38661750
1630314,Brandon Williams,26.0,73,190.0,77.09916473481965,4,2461463,38661750
1641729,Brice Sensabaugh,22.0,78,235.0,82.01972299277821,2,2296274,38661750
1642355,Bronny James,21.0,74,210.0,79.25,1,2048494,38661750
201572,Brook Lopez,38.0,85,282.0,89.5,17,3634153,54126450
1642964,Brooks Barnhizer,24.0,77,230.0,81.03561134118651,0,1272870,38661750
1628971,Bruce Brown,29.0,76,202.0,81.0,7,3080921,46394100
1631121,Bryce McGowens,23.0,78,190.0,80.75,3,2378870,38661750
1642267,Bub Carrington,20.0,76,190.0,80.0,1,2048494,38661750
1631205,Buddy Boeheim,26.0,77,205.0,81.03561134118651,3,2378870,38661750
1627741,Buddy Hield,33.0,76,220.0,81.25,9,3303774,46394100
1643047,CJ Huntley,24.0,83,230.0,86.94028125073677,0,1272870,38661750
203468,CJ McCollum,34.0,75,190.0,78.25,12,3634153,54126450
1630595,Cade Cunningham,24.0,78,220.0,82.01972299277821,4,2461463,38661750
1631216,Caleb Houstan,23.0,80,205.0,83.98794629596165,3,2378870,38661750
1631126,Caleb Love,24.0,75,212.0,79.06738803800309,0,1272870,38661750
1628997,Caleb Martin,30.0,77,205.0,82.0,6,2874436,38661750
1642353,Cam Christie,20.0,77,190.0,80.0,1,2048494,38661750
1642285,Cam Spencer,26.0,75,205.0,77.0,1,2048494,38661750
